Paper Title,Year,Venue,Research Trend Category,Input Method,Modeling/Algorithm,Application,Link
A compliant partitioned shared control strategy for an orbital robot,2021,RA-L,minimizing input,Haptic,Compliance Control,Space Robotics,https://ieeexplore.ieee.org/document/9488248
Feasibility Checking and Constraint Refinement for Shared Control in Assistive Robotics,2024,RA-L,minimizing input,Direct Control Interfaces,Optimization; Templates,Assistive Robotics,https://ieeexplore.ieee.org/abstract/document/10602743
An Integrated Position-velocity-force Method for Safety-enhanced Shared Control in Robot-assisted Surgical Cutting,2024,ICRA,improving input quality,Haptic,Optimization,Medical Robotics,https://ieeexplore.ieee.org/abstract/document/10610466
A shared control framework for robotic telemanipulation combining electromyography based motion estimation and compliance control,2021,ICRA,improving input quality,Physiological Signal,Intent/Goal Inference; Divisible,General Manipulation,https://ieeexplore.ieee.org/abstract/document/9560803
A probabilistic approach for learning and adapting shared control skills with the human in the loop,2024,ICRA,minimizing input,Direct Control Interfaces,Templates,Assistive Robotics,https://ieeexplore.ieee.org/document/10610956
Shared control of assistive robots through user-intent prediction and hyperdimensional recall of reactive behavior,2023,ICRA,improving input quality,Physiological Signal,Probabilistic Graphical Model,Assistive Robotics,https://ieeexplore.ieee.org/abstract/document/10161509
Reconciling conflicting intents: Bidirectional trust-based variable autonomy for mobile robots,2024,RA-L,minimizing time,Direct Control Interfaces,Input Blending; Filtering;,Navigation Robotics,https://ieeexplore.ieee.org/abstract/document/10517369/media#media
Towards human-robot collaborative surgery: Trajectory and strategy learning in bimanual peg transfer,2023,RA-L,minimizing time,Haptic,Traded Control,Medical Robotics,https://ieeexplore.ieee.org/abstract/document/10149474
Scaled autonomy: Enabling human operators to control robot fleets,2020,ICRA,maximizing output,Direct Control Interfaces,Probabilistic Modelling; Multi-Robot Control,Multi-Robot Systems,https://siddharth.io/files/scaled-autonomy.pdf
Guiding reinforcement learning with shared control templates,2023,ICRA,minimizing input,Physiological Signal,Templates; Reinforcement Learning,Assistive Robotics,https://ieeexplore.ieee.org/abstract/document/10161058
A surgeon-robot shared control for ergonomic pedicle screw fixation,2020,RA-L,improving input quality,Kinesthetic Control,Virtual Fixtures,Medical Robotics,https://ieeexplore.ieee.org/abstract/document/8990025
Emg-based intention detection using deep learning for shared control in upper-limb assistive exoskeletons,2023,RA-L,improving input quality,Physiological Signal,Input Blending; Intent/Goal Inference,Assistive Robotics,https://ieeexplore.ieee.org/document/10310091
"Foot control of a surgical laparoscopic gripper via 5dof haptic robotic platform: Design, dynamics and haptic shared control",2021,ICRA,improving input quality,Haptic,Compliance Control,Medical Robotics,https://ieeexplore.ieee.org/abstract/document/9561887
Integrating Open-World Shared Control in Immersive Avatars,2024,ICRA,improving input quality,Gesture/Hand Tracking; VR/AR,Intent/Goal Inference; Input Blending;,Space Robotics,https://ieeexplore.ieee.org/abstract/document/10611618
