Paper Title,Year,Venue,Research Trend Category,Input Method,Modeling/Algorithm,Application,Link
"Effect of cognitive fatigue, operator sex, and robot assistance on task performance metrics, workload, and situation awareness in human-robot collaboration",2021,RA-L,minimizing time,Direct Control Interfaces,Traded Control,Industrial Robotics,https://ieeexplore.ieee.org/abstract/document/9366358
Robot trust and self-confidence based role arbitration method for physical human-robot collaboration,2023,ICRA,improving input quality,Kinesthetic Control,Input Blending,HRC,https://ieeexplore.ieee.org/abstract/document/10160711
"Enabling Embodied Human-Robot Co-Learning: Requirements, Method, and Test With Handover Task",2024,RA-L,improving input quality,Kinesthetic Control,Reinforcement Learning,General Manipulation,https://ieeexplore.ieee.org/abstract/document/10806825
An effective head-based HRI for 6D robotic grasping using mixed reality,2023,RA-L,minimizing input,Gesture/Hand Tracking; Language Controller,Optimization,Assistive Robotics,https://ieeexplore.ieee.org/abstract/document/10080982
Improving tracking through human-robot sensory augmentation,2020,RA-L,improving input quality,Physiological Signal,Filtering,HRC,https://arxiv.org/abs/2002.07293
Iteratively Adding Latent Human Knowledge within Trajectory Optimization Specifications Improves Learning and Task Outcomes,2024,RA-L,minimizing input,Language Controller,Optimization,UAV,https://www.cairo-lab.com/papers/ral24.pdf
CARPAL: Confidence-aware intent recognition for parallel autonomy,2021,RA-L,minimizing time,No Actual Interaction,Intent/Goal Inference; Input Blending; Optimization,Navigation Robotics,https://arxiv.org/abs/2003.08003
Intent-aware control in kinematically redundant systems: Towards collaborative wearable robots,2021,ICRA,minimizing input,Gesture/Hand Tracking,Filtering,General Manipulation,https://khoramshahi.github.io/_files/2021-ICRA-Intent-aware.pdf
Visual servo of a 6-DOF robotic stereo flexible endoscope based on da Vinci Research Kit (dVRK) system,2020,RA-L,minimizing input,Direct Control Interfaces,Templates; Planning,Medical Robotics,https://ieeexplore.ieee.org/abstract/document/8959288
Deep learning and mixed reality to autocomplete teleoperation,2021,ICRA,minimizing time,Direct Control Interfaces,Input Blending; Generative Modelling; Planning,UAV,https://ieeexplore.ieee.org/abstract/document/9560887
Continuous closed-loop 4-degree-of-freedom holdable haptic guidance,2020,RA-L,improving input quality,Haptic,Intent/Goal Inference,General Manipulation,https://ieeexplore.ieee.org/abstract/document/9184223
Bilateral teleoperation with adaptive impedance control for contact tasks,2021,RA-L,improving input quality,Haptic,Compliance Control; Probabilistic Modelling,Industrial Robotics,https://ieeexplore.ieee.org/abstract/document/9380915/
GoonDAE: denoising-based driver assistance for off-road teleoperation,2023,RA-L,improving input quality,Direct Control Interfaces,Generative Modelling; Deep Learning,Assistive Robotics,https://arxiv.org/pdf/2209.03568
Non-prehensile manipulation in clutter with human-in-the-loop,2020,ICRA,minimizing time,GUI,Planning,General Manipulation,https://arxiv.org/abs/1904.03748
Sensorimotor control sharing with vibrotactile feedback for body integration through avatar robot,2022,RA-L,minimizing input,Direct Control Interfaces,Divisible; Input Mapping,General Manipulation,https://ieeexplore.ieee.org/abstract/document/9830860
Attentiveness Map Estimation for Haptic Teleoperation of Mobile Robot Obstacle Avoidance and Approach,2024,RA-L,improving input quality,Haptic,Input Blending; Optimization,Navigation Robotics,https://arxiv.org/abs/2212.08742
On the Feasibility of EEG-based Motor Intention Detection for Real-Time Robot Assistive Control,2024,ICRA,minimizing input,Physiological Signal,Classical ML,Assistive Robotics,https://arxiv.org/abs/2403.08149
Active reward learning from online preferences,2023,ICRA,minimizing time,GUI,Reinforcement Learning,General Manipulation,https://arxiv.org/abs/2302.13507
Collaborative robotic biopsy with trajectory guidance and needle tip force feedback,2023,ICRA,improving input quality,Kinesthetic Control,Virtual Fixtures,Medical Robotics,https://arxiv.org/abs/2306.07129
Fast user adaptation for human motion prediction in physical human–robot interaction,2021,RA-L,improving input quality,Haptic,Input Blending; Intent/Goal Inference; Deep Learning,HRC,https://arxiv.org/abs/2109.08881
Simultaneous haptic guidance and learning of task parameters during robotic teleoperation–a geometrical approach,2021,ICRA,improving input quality,Haptic,Compliance Control; Optimization,Medical Robotics,https://ieeexplore.ieee.org/abstract/document/9560938
Intelligent Mode-switching Framework for Teleoperation,2024,ICRA,minimizing time,Haptic,Traded Control; Reinforcement Learning; Intent/Goal Inference,General Manipulation,https://arxiv.org/abs/2402.06047
Online reference trajectory adaptation: A personalized control strategy for lower limb exoskeletons,2021,RA-L,improving input quality,Kinesthetic Control,Optimization,Assistive Robotics,https://ieeexplore.ieee.org/abstract/document/9548807
Toward a framework integrating augmented reality and virtual fixtures for safer robot-assisted lymphadenectomy,2024,ICRA,improving input quality,Direct Control Interfaces,Virtual Fixtures,Medical Robotics,https://ieeexplore.ieee.org/abstract/document/10610099
Hand-worn haptic interface for drone teleoperation,2020,ICRA,improving input quality,Haptic; Gesture/Hand Tracking,Input Blending; Optimization; Virtual Fixtures,UAV,https://arxiv.org/abs/2004.07111
Adaptive Model Prediction Control Framework with Game Theory for Brain-Controlled Air-Ground Collaborative Unmanned System,2024,RA-L,improving input quality,Physiological Signal,Input Blending; Optimization; Intent/Goal Inference; Classical ML,Multi-Robot Systems,https://ieeexplore.ieee.org/abstract/document/10816148
A framework for interactive virtual fixture generation for shared teleoperation in unstructured environments,2020,ICRA,improving input quality,Haptic,Input Blending; Optimization,General Manipulation,http://ieeexplore.ieee.org/abstract/document/9196579
Markovian transparency control of an exoskeleton robot,2022,RA-L,improving input quality,Physiological Signal,Probabilistic Modelling,Medical Robotics,https://ieeexplore.ieee.org/abstract/document/9968063
Locomotion control on human-centaur system with spherical joint interaction,2024,RA-L,improving input quality,Kinesthetic Control,Planning,Assistive Robotics,https://ieeexplore.ieee.org/abstract/document/10480718
Two-stage clustering of human preferences for action prediction in assembly tasks,2021,ICRA,improving input quality,Implicit Cues,Probabilistic Graphical Model,HRC,https://ieeexplore.ieee.org/abstract/document/9561649
Finite-horizon synthesis for probabilistic manipulation domains,2021,ICRA,improving input quality,Implicit Cues,Planning; Probabilistic Graphical Model,HRC,https://www.kavrakilab.rice.edu/publications/wells2021-finite-horizon-synthesis.pdf
Patient-tailored adaptive control for robot-aided orthopaedic rehabilitation,2022,ICRA,improving input quality,Kinesthetic Control,Imitation Learning; Classical ML,Medical Robotics,https://ieeexplore.ieee.org/abstract/document/9811791
Imposing healthy hip motion pattern and range by exoskeleton control for individualized assistance,2022,RA-L,improving input quality,Gesture/Hand Tracking,Reinforcement Learning,Assistive Robotics,https://ieeexplore.ieee.org/abstract/document/9849054
Onboard safety guarantees for racing drones: High-speed geofencing with control barrier functions,2022,RA-L,improving input quality,Direct Control Interfaces,Filtering; Optimization,UAV,https://arxiv.org/abs/2201.04331
Hierarchical Human Motion Intention Prediction for Increasing Efficacy of Human-Robot Collaboration,2024,RA-L,improving input quality,Physiological Signal,Intent/Goal Inference; Probabilistic Modelling,Multi-Robot Systems,https://ieeexplore.ieee.org/abstract/document
Forming real-world human-robot cooperation for tasks with general goal,2021,RA-L,minimizing input,Kinesthetic Control,Reinforcement Learning,HRC,https://arxiv.org/abs/2012.10773
Improving generalisation in learning assistance by demonstration for smart wheelchairs,2020,ICRA,improving input quality,Haptic,Generative Modelling; Probabilistic Graphical Model,Assistive Robotics,https://ieeexplore.ieee.org/document/9197490
Measuring interaction bandwidth during physical human-robot collaboration,2022,RA-L,improving input quality,Haptic,Compliance Control; Virtual Fixtures; Filtering,Assistive Robotics,https://olakali.github.io/assets/pdfs/2022RALKaScRuDeMu.pdf
Haptic teleoperation of flexible needles combining 3d ultrasound guidance and needle tip force feedback,2021,RA-L,improving input quality,Haptic,Compliance Control; Virtual Fixtures; Optimization,Medical Robotics,https://ieeexplore.ieee.org/abstract/document/9385838
Running guidance for visually impaired people using sensory augmentation technology based robotic system,2023,RA-L,improving input quality,Gesture/Hand Tracking,Input Mapping,Assistive Robotics,https://ieeexplore.ieee.org/abstract/document/10180006
Adaptive Control for Triadic Human-Robot-FES Collaboration in Gait Rehabilitation: A Pilot Study,2024,ICRA,improving input quality,Gesture/Hand Tracking,Filtering,Assistive Robotics,https://arxiv.org/abs/2402.00775
Learning submodular objectives for team environmental monitoring,2021,RA-L,minimizing input,No Actual Interaction,Optimization; Multi-Robot Control; Supervisory,Navigation Robotics,https://arxiv.org/abs/2112.08000
3D Autocomplete: Enhancing UAV Teleoperation with AI in the Loop,2024,ICRA,minimizing time,Direct Control Interfaces,Intent/Goal Inference; Generative Modelling,UAV,https://ieeexplore.ieee.org/abstract/document/10610932
A User-and Slope-Adaptive Control Framework for a Walking Aid Robot,2024,RA-L,improving input quality,Gesture/Hand Tracking,Compliance Control,Assistive Robotics,https://ieeexplore.ieee.org/abstract/document/10561502
Task autocorrection for immersive teleoperation,2021,ICRA,improving input quality,VR/AR,Classical ML,General Manipulation,https://crl.ethz.ch/papers/TaskAutocorrection.pdf
Online replanning with human-in-the-loop for non-prehensile manipulation in clutter—a trajectory optimization based approach,2020,RA-L,maximizing output,GUI,Multi-Robot Control; Supervisory; Planning,General Manipulation,https://ieeexplore.ieee.org/abstract/document/9131745
Haptic Feedback of Front Vehicle Motion May Improve Driving Control,2024,RA-L,improving input quality,Haptic,Input Mapping,Navigation Robotics,https://ieeexplore.ieee.org/abstract/document/10758244
Improving complex task performance in powered upper limb exoskeletons with adaptive proportional myoelectric control for user motor strategy tracking,2024,RA-L,improving input quality,Physiological Signal,Filtering; Input Mapping,Assistive Robotics,https://ieeexplore.ieee.org/abstract/document/10487855
Robot-assisted retraction for transoral surgery,2022,RA-L,minimizing time,Kinesthetic Control,Supervisory; Templates; Filtering ,Medical Robotics,https://ieeexplore.ieee.org/document/9907866
Personalized human-swarm interaction through hand motion,2021,RA-L,maximizing output,Gesture/Hand Tracking,Input Mapping; Classical ML,Multi-Robot Systems,https://arxiv.org/abs/2103.07731
Semi-Autonomous Grasping Control of Prosthetic Hand and Wrist Based on Motion Prior Field,2024,RA-L,improving input quality,Direct Control Interfaces,Imitation Learning,General Manipulation,https://ieeexplore.ieee.org/document/10522893
Reward learning with intractable normalizing functions,2023,RA-L,minimizing input,Direct Control Interfaces; Kinesthetic Control,Intent/Goal Inference; Probabilistic Graphical Model,General Manipulation,https://arxiv.org/abs/2305.09606
Teleoperation of a Suspended Aerial Manipulator Using a Handheld Camera with an IMU,2024,RA-L,improving input quality,Direct Control Interfaces,Filtering,UAV,https://ieeexplore.ieee.org/abstract/document/10777054
Model-Augmented Energy-Flow Reference for High-Delay Telemanipulation,2024,RA-L,improving input quality,Haptic,Filtering,Space Robotics,https://ieeexplore.ieee.org/abstract/document/10419892
"Viiat-hand: a Reach-and-grasp Restoration System Integrating Voice interaction, Computer vision, Auditory and Tactile feedback for Blind Amputees",2024,RA-L,minimizing time,Kinesthetic Control,Divisible,Assistive Robotics,https://ieeexplore.ieee.org/abstract/document/10643668
Mini-batched online incremental learning through supervisory teleoperation with kinesthetic coupling,2020,ICRA,minimizing input,Haptic,Input Blending; Compliance Control; Classical ML ,General Manipulation,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9197444
Uncoupled stability dynamic range for hunt-crossley modeled virtual environments,2023,RA-L,improving input quality,Haptic,Optimization,Assistive Robotics,
Drumming arm: an upper-limb prosthetic system to restore grip control for a transradial amputee drummer,2021,ICRA,improving input quality,Physiological Signal,Input Mapping; Classical ML,Assistive Robotics,
Haptic human-robot collaboration for walker-assisted navigation based on admittance controllers,2023,RA-L,improving input quality,Haptic,Compliance Control; Virtual Fixtures,Assistive Robotics,
Cost-Effective Sensing for Goal Inference: A Model Predictive Approach,2022,ICRA,improving input quality,Direct Control Interfaces,Filtering,General Manipulation,https://thomasrantian.github.io/pdfs/ICRA_22_Tian_Cost_Effective_Goal_Inference.pdf
A learning-based shared control approach for contact tasks,2023,RA-L,improving input quality,Direct Control Interfaces,Imitation Learning; Probabilistic Graphical Model,General Manipulation,
